NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
NEGATIVE REGULATION OF EXOSOMAL SECRETION%GOBP%GO:1903542	4		Rejected!	
NEGATIVE REGULATION OF HISTONE UBIQUITINATION%GOBP%GO:0033183	4		Rejected!	
REGULATION OF SOMITOGENESIS%GOBP%GO:0014807	4		Rejected!	
REGULATION OF TRANSMISSION OF NERVE IMPULSE%GOBP%GO:0051969	7		Rejected!	
REGULATION OF REACTIVE OXYGEN SPECIES BIOSYNTHETIC PROCESS%GOBP%GO:1903426	33	20		
REGULATION OF DEFENSE RESPONSE TO VIRUS BY HOST%GOBP%GO:0050691	36	27		
POSTERIOR LATERAL LINE SYSTEM DEVELOPMENT%GOBP%GO:0048915	1		Rejected!	
BONE MINERALIZATION%GOBP%GO:0030282	25		Rejected!	
METANEPHRIC COMMA-SHAPED BODY MORPHOGENESIS%GOBP%GO:0072278	1		Rejected!	
REGULATION OF DOUBLE-STRANDED TELOMERIC DNA BINDING%GOBP%GO:1905767	1		Rejected!	
POSITIVE REGULATION OF TRANSLATIONAL INITIATION%GOBP%GO:0045948	28	21		
DNA REPLICATION INITIATION%GOBP%GO:0006270	24	23		
EMBRYONIC SKELETAL SYSTEM MORPHOGENESIS%GOBP%GO:0048704	37	30		
NEGATIVE REGULATION OF CYTOKINESIS%GOBP%GO:0032466	6		Rejected!	
POSITIVE REGULATION OF SODIUM:PROTON ANTIPORTER ACTIVITY%GOBP%GO:0032417	4		Rejected!	
POSITIVE REGULATION OF PEPTIDYL-SERINE PHOSPHORYLATION%GOBP%GO:0033138	92	60		
POSITIVE REGULATION OF ESTABLISHMENT OF PROTEIN LOCALIZATION%GOBP%GO:1904951	241	198		
CITRATE TRANSPORT%GOBP%GO:0015746	4		Rejected!	
SIGNAL TRANSDUCTION BY P53 CLASS MEDIATOR%GOBP%GO:0072331	71	65		
CAMP-MEDIATED SIGNALING%GOBP%GO:0019933	27	21		
NERVOUS SYSTEM PROCESS INVOLVED IN REGULATION OF SYSTEMIC ARTERIAL BLOOD PRESSURE%GOBP%GO:0001976	4		Rejected!	
MRNA ALTERNATIVE POLYADENYLATION%GOBP%GO:0110104	4		Rejected!	
REGULATION OF THE FORCE OF HEART CONTRACTION BY CHEMICAL SIGNAL%GOBP%GO:0003057	2		Rejected!	
CARBON CATABOLITE ACTIVATION OF TRANSCRIPTION%GOBP%GO:0045991	4		Rejected!	
EPIDERMAL CELL DIFFERENTIATION%GOBP%GO:0009913	102	47		
GLUCOSE METABOLIC PROCESS%GOBP%GO:0006006	58	42		
TRNA SPLICING, VIA ENDONUCLEOLYTIC CLEAVAGE AND LIGATION%GOBP%GO:0006388	12		Rejected!	
NEGATIVE REGULATION OF ADENOSINE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0060169	1		Rejected!	
CELLULAR CHEMICAL HOMEOSTASIS%GOBP%GO:0055082	398		Rejected!	
ANION TRANSMEMBRANE TRANSPORT%GOBP%GO:0098656	147	91		
NEGATIVE REGULATION OF MAINTENANCE OF SISTER CHROMATID COHESION%GOBP%GO:0034092	3		Rejected!	
GAMMA-AMINOBUTYRIC ACID RECEPTOR CLUSTERING%GOBP%GO:0097112	3		Rejected!	
PYRIMIDINE-CONTAINING COMPOUND TRANSMEMBRANE TRANSPORT%GOBP%GO:0072531	11		Rejected!	
POSITIVE REGULATION OF NOREPINEPHRINE UPTAKE%GOBP%GO:0051623	1		Rejected!	
REGULATION OF POSTSYNAPTIC DENSITY ORGANIZATION%GOBP%GO:1905874	5		Rejected!	
ORGANIC SUBSTANCE BIOSYNTHETIC PROCESS%GOBP%GO:1901576	1916		Rejected!	
NEGATIVE REGULATION OF INFLAMMATORY RESPONSE%GOBP%GO:0050728	103	64		
NITROGEN COMPOUND TRANSPORT%GOBP%GO:0071705	1026		Rejected!	
RESPONSE TO REACTIVE OXYGEN SPECIES%GOBP%GO:0000302	105	88		
RENAL TUBULE DEVELOPMENT%GOBP%GO:0061326	38	29		
MODULATION BY HOST OF VIRAL PROCESS%GOBP%GO:0044788	34	27		
CELLULAR DETOXIFICATION OF METHYLGLYOXAL%GOBP%GO:0140041	1		Rejected!	
C-TERMINAL PROTEIN DEGLUTAMYLATION%GOBP%GO:0035609	6		Rejected!	
REGULATION OF ADAPTIVE IMMUNE RESPONSE%GOBP%GO:0002819	146	90		
L-LYSINE CATABOLIC PROCESS%GOBP%GO:0019477	1		Rejected!	
AUTONOMIC NERVOUS SYSTEM DEVELOPMENT%GOBP%GO:0048483	31		Rejected!	
TRNA DEMETHYLATION%GOBP%GO:1990983	1		Rejected!	
PREANTRAL OVARIAN FOLLICLE GROWTH%GOBP%GO:0001546	1		Rejected!	
SMOOTH MUSCLE CONTRACTION%GOBP%GO:0006939	32	18		
REGULATION OF ACTIN FILAMENT POLYMERIZATION%GOBP%GO:0030833	98	79		
REGULATION OF TYPE III INTERFERON PRODUCTION%GOBP%GO:0034344	3		Rejected!	
REGULATION OF CHEMOKINE (C-X-C MOTIF) LIGAND 9 PRODUCTION%GOBP%GO:0035394	1		Rejected!	
CENTRAL NERVOUS SYSTEM NEURON DEVELOPMENT%GOBP%GO:0021954	40	32		
CHAPERONE-MEDIATED PROTEIN FOLDING%GOBP%GO:0061077	64	56		
DNA LIGATION%GOBP%GO:0006266	9		Rejected!	
SPHINGOLIPID MEDIATED SIGNALING PATHWAY%GOBP%GO:0090520	9		Rejected!	
REGULATION OF SKELETAL MUSCLE CONTRACTION BY REGULATION OF RELEASE OF SEQUESTERED CALCIUM ION%GOBP%GO:0014809	4		Rejected!	
REGULATION OF RECEPTOR BINDING%GOBP%GO:1900120	15		Rejected!	
CELLULAR RESPONSE TO SODIUM ARSENITE%GOBP%GO:1903936	5		Rejected!	
NEGATIVE REGULATION OF REACTIVE OXYGEN SPECIES BIOSYNTHETIC PROCESS%GOBP%GO:1903427	13		Rejected!	
ENAMEL MINERALIZATION%GOBP%GO:0070166	6		Rejected!	
DOUBLE-STRAND BREAK REPAIR VIA SYNTHESIS-DEPENDENT STRAND ANNEALING%GOBP%GO:0045003	7		Rejected!	
POSITIVE REGULATION OF RESPONSE TO INTERFERON-GAMMA%GOBP%GO:0060332	4		Rejected!	
RESPIRATORY TUBE DEVELOPMENT%GOBP%GO:0030323	48	30		
POSITIVE REGULATION OF CHROMOSOME SEGREGATION%GOBP%GO:0051984	19	18		
REGULATION OF PURKINJE MYOCYTE ACTION POTENTIAL%GOBP%GO:0098906	1		Rejected!	
NEGATIVE REGULATION OF PEPTIDYL-SERINE DEPHOSPHORYLATION%GOBP%GO:1902309	2		Rejected!	
POSITIVE REGULATION OF OSTEOCLAST PROLIFERATION%GOBP%GO:0090290	3		Rejected!	
PRINCIPAL SENSORY NUCLEUS OF TRIGEMINAL NERVE DEVELOPMENT%GOBP%GO:0021740	1		Rejected!	
NORADRENERGIC NEURON FATE COMMITMENT%GOBP%GO:0003359	1		Rejected!	
IMMUNE RESPONSE%GOBP%GO:0006955	1021		Rejected!	
DENDRITIC CELL MIGRATION%GOBP%GO:0036336	19		Rejected!	
OTOLITH MINERALIZATION%GOBP%GO:0045299	3		Rejected!	
PHOSPHATIDYLCHOLINE ACYL-CHAIN REMODELING%GOBP%GO:0036151	14		Rejected!	
AUTOPHAGY OF MITOCHONDRION%GOBP%GO:0000422	50	45		
PYRIMIDINE RIBONUCLEOSIDE DIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009194	2		Rejected!	
TRIF-DEPENDENT TOLL-LIKE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0035666	7		Rejected!	
NEGATIVE REGULATION OF CELLULAR SENESCENCE%GOBP%GO:2000773	19	17		
NEGATIVE REGULATION OF MEMBRANE POTENTIAL%GOBP%GO:0045837	9		Rejected!	
REGULATION OF DNA REPLICATION ORIGIN BINDING%GOBP%GO:1902595	2		Rejected!	
ENDOTHELIAL CELL PROLIFERATION%GOBP%GO:0001935	18	15		
REGULATION OF PHOSPHATIDYLSERINE EXPOSURE ON APOPTOTIC CELL SURFACE%GOBP%GO:1905780	1		Rejected!	
GLYCOSYLATION%GOBP%GO:0070085	200	170		
POSITIVE REGULATION OF CELL CYCLE%GOBP%GO:0045787	256		Rejected!	
REGULATION OF MRNA PROCESSING%GOBP%GO:0050684	129	113		
TRANS-SYNAPTIC SIGNALING%GOBP%GO:0099537	333	143		
REGULATION OF CELL ADHESION MOLECULE PRODUCTION%GOBP%GO:0060353	7		Rejected!	
SQUAMOUS BASAL EPITHELIAL STEM CELL DIFFERENTIATION INVOLVED IN PROSTATE GLAND ACINUS DEVELOPMENT%GOBP%GO:0060529	1		Rejected!	
REGULATION OF INTERLEUKIN-17 PRODUCTION%GOBP%GO:0032660	35	18		
PLASMA MEMBRANE PHOSPHOLIPID SCRAMBLING%GOBP%GO:0017121	15		Rejected!	
VENTRICULAR ZONE NEUROBLAST DIVISION%GOBP%GO:0021847	2		Rejected!	
REPLICATION FORK ARREST%GOBP%GO:0043111	3		Rejected!	
DETECTION OF TEMPERATURE STIMULUS INVOLVED IN SENSORY PERCEPTION OF PAIN%GOBP%GO:0050965	4		Rejected!	
REGULATION OF SERINE C-PALMITOYLTRANSFERASE ACTIVITY%GOBP%GO:1904220	3		Rejected!	
REGULATION OF GASTRIC MOTILITY%GOBP%GO:1905333	1		Rejected!	
PEPTIDYL-TYROSINE DEPHOSPHORYLATION%GOBP%GO:0035335	28	23		
NEGATIVE REGULATION OF CELLULAR RESPONSE TO INSULIN STIMULUS%GOBP%GO:1900077	28	24		
NATURAL KILLER CELL INHIBITORY SIGNALING PATHWAY%GOBP%GO:0002769	3		Rejected!	
REGULATION OF PURINE NUCLEOTIDE BIOSYNTHETIC PROCESS%GOBP%GO:1900371	26	18		
COLLAGEN METABOLIC PROCESS%GOBP%GO:0032963	46	27		
CENTRAL NERVOUS SYSTEM MORPHOGENESIS%GOBP%GO:0021551	2		Rejected!	
DEFENSE RESPONSE TO OTHER ORGANISM%GOBP%GO:0098542	706		Rejected!	
POSITIVE REGULATION OF HISTONE H3-K27 TRIMETHYLATION%GOBP%GO:1902466	1		Rejected!	
ANTIGEN SAMPLING BY M CELLS IN MUCOSAL-ASSOCIATED LYMPHOID TISSUE%GOBP%GO:0002406	1		Rejected!	
NEGATIVE REGULATION OF NECROPTOTIC PROCESS%GOBP%GO:0060546	10		Rejected!	
NONRIBOSOMAL PEPTIDE BIOSYNTHETIC PROCESS%GOBP%GO:0019184	9		Rejected!	
NEGATIVE REGULATION OF ANGIOGENESIS%GOBP%GO:0016525	87	59		
PLACENTA BLOOD VESSEL DEVELOPMENT%GOBP%GO:0060674	7		Rejected!	
GOLGI VESICLE BUDDING%GOBP%GO:0048194	9		Rejected!	
NEGATIVE REGULATION OF INTERFERON-ALPHA PRODUCTION%GOBP%GO:0032687	5		Rejected!	
NEGATIVE REGULATION OF PHOSPHORUS METABOLIC PROCESS%GOBP%GO:0010563	346		Rejected!	
CELLULAR RESPONSE TO BMP STIMULUS%GOBP%GO:0071773	71	48		
G-QUADRUPLEX DNA FORMATION%GOBP%GO:0071919	1		Rejected!	
INNATE IMMUNE RESPONSE%GOBP%GO:0045087	491		Rejected!	
AXONOGENESIS%GOBP%GO:0007409	240	177		
NEGATIVE REGULATION OF CELLULAR MACROMOLECULE BIOSYNTHETIC PROCESS%GOBP%GO:2000113	166	151		
POSITIVE REGULATION OF MEMBRANE REPOLARIZATION DURING CARDIAC MUSCLE CELL ACTION POTENTIAL%GOBP%GO:1905033	2		Rejected!	
POSITIVE REGULATION OF SYNAPSE ASSEMBLY%GOBP%GO:0051965	33	23		
PEPTIDYL-ARGININE METHYLATION, TO ASYMMETRICAL-DIMETHYL ARGININE%GOBP%GO:0019919	2		Rejected!	
BIOFILM MATRIX DISASSEMBLY%GOBP%GO:0098786	1		Rejected!	
UDP-N-ACETYLGLUCOSAMINE TRANSMEMBRANE TRANSPORT%GOBP%GO:1990569	2		Rejected!	
CRANIAL SKELETAL SYSTEM DEVELOPMENT%GOBP%GO:1904888	26	18		
BRANCHED-CHAIN AMINO ACID TRANSPORT%GOBP%GO:0015803	8		Rejected!	
REGULATION OF POST-TRANSCRIPTIONAL GENE SILENCING%GOBP%GO:0060147	36	33		
P GRANULE ORGANIZATION%GOBP%GO:0030719	8		Rejected!	
REGULATION OF LIPID TRANSPORTER ACTIVITY%GOBP%GO:0110112	4		Rejected!	
NEGATIVE REGULATION OF STRESS GRANULE ASSEMBLY%GOBP%GO:0062030	1		Rejected!	
CORTICOTROPIN SECRETION%GOBP%GO:0051458	1		Rejected!	
REGULATION OF MOLECULAR FUNCTION%GOBP%GO:0065009	2120		Rejected!	
REGULATION OF CYTOPLASMIC MRNA PROCESSING BODY ASSEMBLY%GOBP%GO:0010603	5		Rejected!	
INNATE IMMUNE RESPONSE ACTIVATING CELL SURFACE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0002220	29		Rejected!	
NEGATIVE REGULATION OF METAPHASE/ANAPHASE TRANSITION OF CELL CYCLE%GOBP%GO:1902100	29	27		
RESPONSE TO ALKALOID%GOBP%GO:0043279	26		Rejected!	
NUCLEOTIDE-EXCISION REPAIR, DNA DAMAGE RECOGNITION%GOBP%GO:0000715	1		Rejected!	
REGULATION OF CELL PROLIFERATION INVOLVED IN TISSUE HOMEOSTASIS%GOBP%GO:0060784	1		Rejected!	
BLOOD VESSEL DIAMETER MAINTENANCE%GOBP%GO:0097746	69	41		
PUTRESCINE METABOLIC PROCESS%GOBP%GO:0009445	7		Rejected!	
MEIOTIC CHROMOSOME CONDENSATION%GOBP%GO:0010032	3		Rejected!	
BMP SIGNALING PATHWAY INVOLVED IN HEART INDUCTION%GOBP%GO:0003130	2		Rejected!	
PLATELET ACTIVATING FACTOR CATABOLIC PROCESS%GOBP%GO:0062234	2		Rejected!	
PHOSPHOLIPID TRANSLOCATION%GOBP%GO:0045332	40	29		
PURINE RIBONUCLEOSIDE DIPHOSPHATE CATABOLIC PROCESS%GOBP%GO:0009181	3		Rejected!	
CHYLOMICRON REMODELING%GOBP%GO:0034371	3		Rejected!	
NEGATIVE REGULATION OF FATTY ACID BETA-OXIDATION%GOBP%GO:0031999	4		Rejected!	
ERYTHROCYTE MATURATION%GOBP%GO:0043249	2		Rejected!	
POSITIVE REGULATION OF TRANSCRIPTION INVOLVED IN G2/M TRANSITION OF MITOTIC CELL CYCLE%GOBP%GO:0090282	1		Rejected!	
SEMINAL CLOT LIQUEFACTION%GOBP%GO:0070684	1		Rejected!	
CHOLESTEROL METABOLIC PROCESS%GOBP%GO:0008203	71	47		
CELLULAR RESPONSE TO ACTINOMYCIN D%GOBP%GO:0072717	3		Rejected!	
PORPHYRIN-CONTAINING COMPOUND BIOSYNTHETIC PROCESS%GOBP%GO:0006779	22	21		
MESENCHYMAL CELL PROLIFERATION INVOLVED IN LUNG DEVELOPMENT%GOBP%GO:0060916	1		Rejected!	
INSULIN-LIKE GROWTH FACTOR RECEPTOR SIGNALING PATHWAY%GOBP%GO:0048009	11		Rejected!	
RRNA TRANSPORT%GOBP%GO:0051029	5		Rejected!	
GLOMERULAR ENDOTHELIUM DEVELOPMENT%GOBP%GO:0072011	2		Rejected!	
ENDOTHELIAL CELL-MATRIX ADHESION%GOBP%GO:0090673	1		Rejected!	
ENDOTHELIAL CELL CHEMOTAXIS%GOBP%GO:0035767	9		Rejected!	
NEGATIVE REGULATION OF MYELOID PROGENITOR CELL DIFFERENTIATION%GOBP%GO:1905454	1		Rejected!	
LYMPHOID LINEAGE CELL MIGRATION%GOBP%GO:0097534	1		Rejected!	
POSITIVE REGULATION OF UBIQUITIN-PROTEIN TRANSFERASE ACTIVITY%GOBP%GO:0051443	28	26		
MULTI-LAYER FOLLICLE STAGE%GOBP%GO:0048162	1		Rejected!	
REGULATION OF BLOOD PRESSURE%GOBP%GO:0008217	118	57		
POSITIVE REGULATION OF RENIN SECRETION INTO BLOOD STREAM%GOBP%GO:1900135	2		Rejected!	
POSITIVE REGULATION OF T-HELPER 2 CELL ACTIVATION%GOBP%GO:2000570	1		Rejected!	
NEGATIVE REGULATION OF ADHERENS JUNCTION ORGANIZATION%GOBP%GO:1903392	3		Rejected!	
SMOOTH ENDOPLASMIC RETICULUM CALCIUM ION HOMEOSTASIS%GOBP%GO:0051563	1		Rejected!	
REGULATION OF SODIUM ION TRANSMEMBRANE TRANSPORT%GOBP%GO:1902305	58	38		
COMPLEMENT ACTIVATION, ALTERNATIVE PATHWAY%GOBP%GO:0006957	5		Rejected!	
REGULATION OF ESTABLISHMENT OF PROTEIN LOCALIZATION TO CHROMOSOME%GOBP%GO:0070202	12		Rejected!	
REGULATION OF INTESTINAL ABSORPTION%GOBP%GO:1904478	11		Rejected!	
TROPHECTODERMAL CELL PROLIFERATION%GOBP%GO:0001834	2		Rejected!	
REGULATION OF SCLEROTOME DEVELOPMENT%GOBP%GO:0061190	1		Rejected!	
NEGATIVE REGULATION OF INTERFERON-GAMMA-MEDIATED SIGNALING PATHWAY%GOBP%GO:0060336	7		Rejected!	
L-PHENYLALANINE CATABOLIC PROCESS%GOBP%GO:0006559	5		Rejected!	
NEGATIVE REGULATION OF INTRACELLULAR STEROL TRANSPORT%GOBP%GO:0032381	2		Rejected!	
SPINAL CORD OLIGODENDROCYTE CELL DIFFERENTIATION%GOBP%GO:0021529	2		Rejected!	
NEGATIVE REGULATION OF CELL MIGRATION%GOBP%GO:0030336	242	183		
NEGATIVE REGULATION OF NMDA GLUTAMATE RECEPTOR ACTIVITY%GOBP%GO:1904782	2		Rejected!	
RESPONSE TO OXYGEN-GLUCOSE DEPRIVATION%GOBP%GO:0090649	1		Rejected!	
SENSORY PERCEPTION OF SOUR TASTE%GOBP%GO:0050915	9		Rejected!	
MUSCLE ADAPTATION%GOBP%GO:0043500	16		Rejected!	
LENS PLACODE FORMATION%GOBP%GO:0001743	1		Rejected!	
NEURONAL SIGNAL TRANSDUCTION%GOBP%GO:0023041	6		Rejected!	
REGULATION OF BIOSYNTHETIC PROCESS%GOBP%GO:0009889	3675		Rejected!	
REGULATION OF CENTRIOLE REPLICATION%GOBP%GO:0046599	22	20		
REGULATION OF LEUKOCYTE DEGRANULATION%GOBP%GO:0043300	34	21		
PYRIMIDINE NUCLEOSIDE SALVAGE%GOBP%GO:0043097	2		Rejected!	
MRNA METABOLIC PROCESS%GOBP%GO:0016071	459		Rejected!	
VASCULAR ENDOTHELIAL GROWTH FACTOR SIGNALING PATHWAY%GOBP%GO:0038084	20	15		
POSITIVE REGULATION OF VESICLE FUSION%GOBP%GO:0031340	6		Rejected!	
POSITIVE REGULATION OF PROTEOLYSIS INVOLVED IN CELLULAR PROTEIN CATABOLIC PROCESS%GOBP%GO:1903052	114	101		
SYNAPTIC MEMBRANE ADHESION%GOBP%GO:0099560	14		Rejected!	
REGULATION OF LIPOPOLYSACCHARIDE-MEDIATED SIGNALING PATHWAY%GOBP%GO:0031664	24		Rejected!	
REGULATION OF PEPTIDYL-TYROSINE PHOSPHORYLATION%GOBP%GO:0050730	194	128		
AEROBIC ELECTRON TRANSPORT CHAIN%GOBP%GO:0019646	79	76		
L-METHIONINE BIOSYNTHETIC PROCESS%GOBP%GO:0071265	7		Rejected!	
REGULATION OF PRESYNAPTIC MEMBRANE ORGANIZATION%GOBP%GO:1901629	1		Rejected!	
IDP CATABOLIC PROCESS%GOBP%GO:0046709	1		Rejected!	
DENDRITE SELF-AVOIDANCE%GOBP%GO:0070593	16		Rejected!	
3'-PHOSPHOADENOSINE 5'-PHOSPHOSULFATE BIOSYNTHETIC PROCESS%GOBP%GO:0050428	6		Rejected!	
NEGATIVE REGULATION OF GLUTAMATE SECRETION%GOBP%GO:0014050	3		Rejected!	
POSITIVE REGULATION OF BONE RESORPTION%GOBP%GO:0045780	10		Rejected!	
CELLULAR RESPONSE TO LAMINAR FLUID SHEAR STRESS%GOBP%GO:0071499	7		Rejected!	
DNA DEMETHYLATION OF MALE PRONUCLEUS%GOBP%GO:0044727	3		Rejected!	
VASCULAR ENDOTHELIAL GROWTH FACTOR RECEPTOR-2 SIGNALING PATHWAY%GOBP%GO:0036324	5		Rejected!	
CHEMOSENSORY BEHAVIOR%GOBP%GO:0007635	6		Rejected!	
REGULATION OF PROTEIN OLIGOMERIZATION%GOBP%GO:0032459	2		Rejected!	
ARGININE CATABOLIC PROCESS%GOBP%GO:0006527	7		Rejected!	
REGULATION OF PHOSPHORYLATION%GOBP%GO:0042325	1010		Rejected!	
RNA PHOSPHODIESTER BOND HYDROLYSIS, EXONUCLEOLYTIC%GOBP%GO:0090503	14		Rejected!	
REGULATION OF MYOSIN LIGHT CHAIN KINASE ACTIVITY%GOBP%GO:0035504	2		Rejected!	
DETECTION OF CHEMICAL STIMULUS INVOLVED IN SENSORY PERCEPTION OF SWEET TASTE%GOBP%GO:0001582	2		Rejected!	
RIBONUCLEOSIDE BISPHOSPHATE METABOLIC PROCESS%GOBP%GO:0033875	113	81		
REGULATION OF HAIR FOLLICLE CELL PROLIFERATION%GOBP%GO:0071336	1		Rejected!	
PROTEIN LOCALIZATION TO CELL SURFACE%GOBP%GO:0034394	29	22		
ENZYME-LINKED RECEPTOR PROTEIN SIGNALING PATHWAY%GOBP%GO:0007167	496		Rejected!	
METANEPHROS MORPHOGENESIS%GOBP%GO:0003338	13		Rejected!	
MORPHOGENESIS OF AN EPITHELIUM%GOBP%GO:0002009	221	162		
REGULATION OF MEIOTIC CHROMOSOME SEPARATION%GOBP%GO:1905132	3		Rejected!	
MICROSPIKE ASSEMBLY%GOBP%GO:0030035	3		Rejected!	
ONCOSTATIN-M-MEDIATED SIGNALING PATHWAY%GOBP%GO:0038165	4		Rejected!	
CELLULAR RESPONSE TO DITHIOTHREITOL%GOBP%GO:0072721	1		Rejected!	
APPENDAGE DEVELOPMENT%GOBP%GO:0048736	69	49		
NUCLEAR INNER MEMBRANE ORGANIZATION%GOBP%GO:0071765	1		Rejected!	
FIBRONECTIN FIBRIL ORGANIZATION%GOBP%GO:1905590	2		Rejected!	
REGULATION OF GLIAL CELL-DERIVED NEUROTROPHIC FACTOR PRODUCTION%GOBP%GO:1900166	3		Rejected!	
VENTRICULAR CARDIAC MUSCLE CELL DIFFERENTIATION%GOBP%GO:0055012	7		Rejected!	
POSITIVE REGULATION OF FLAGELLATED SPERM MOTILITY INVOLVED IN CAPACITATION%GOBP%GO:0060474	3		Rejected!	
PHYTOSTEROID BIOSYNTHETIC PROCESS%GOBP%GO:0016129	1		Rejected!	
LEUKOCYTE MEDIATED IMMUNITY%GOBP%GO:0002443	197	61		
MESONEPHRIC EPITHELIUM DEVELOPMENT%GOBP%GO:0072163	32	21		
NEGATIVE REGULATION OF AUTOPHAGOSOME MATURATION%GOBP%GO:1901097	5		Rejected!	
OCULOMOTOR NERVE MORPHOGENESIS%GOBP%GO:0021622	1		Rejected!	
NEGATIVE REGULATION OF TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY%GOBP%GO:0060339	16	15		
DNA REPAIR COMPLEX ASSEMBLY%GOBP%GO:0090735	3		Rejected!	
REGULATION OF PROTEIN TYROSINE KINASE ACTIVITY%GOBP%GO:0061097	65	47		
DNA METHYLATION INVOLVED IN GAMETE GENERATION%GOBP%GO:0043046	17		Rejected!	
NEGATIVE REGULATION OF COLLAGEN CATABOLIC PROCESS%GOBP%GO:0010711	1		Rejected!	
MONOCYTE AGGREGATION%GOBP%GO:0070487	3		Rejected!	
PUTRESCINE BIOSYNTHETIC PROCESS FROM ARGININE, USING AGMATINASE%GOBP%GO:0033389	1		Rejected!	
HISTONE H3-Y41 PHOSPHORYLATION%GOBP%GO:0035409	1		Rejected!	
OPTIC CHIASMA DEVELOPMENT%GOBP%GO:0061360	1		Rejected!	
POSITIVE REGULATION OF CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY INVOLVED IN EXECUTION PHASE OF APOPTOSIS%GOBP%GO:2001272	2		Rejected!	
CELLULAR RESPONSE TO RETINOIC ACID%GOBP%GO:0071300	45	26		
REGULATION OF VIRAL ENTRY INTO HOST CELL%GOBP%GO:0046596	40	27		
SIGNAL TRANSDUCTION IN ABSENCE OF LIGAND%GOBP%GO:0038034	17		Rejected!	
REGULATION OF ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN%GOBP%GO:0002583	6		Rejected!	
NEGATIVE REGULATION OF VITAMIN METABOLIC PROCESS%GOBP%GO:0046137	7		Rejected!	
CELLULAR RESPONSE TO CARBOHYDRATE STIMULUS%GOBP%GO:0071322	39	31		
NEGATIVE REGULATION OF SERINE-TYPE ENDOPEPTIDASE ACTIVITY%GOBP%GO:1900004	4		Rejected!	
CELLULAR HYPOTONIC SALINITY RESPONSE%GOBP%GO:0071477	1		Rejected!	
CATABOLIC PROCESS%GOBP%GO:0009056	1541		Rejected!	
POSITIVE REGULATION OF LYMPHOTOXIN A PRODUCTION%GOBP%GO:0032761	3		Rejected!	
REGULATION OF CORTISOL BIOSYNTHETIC PROCESS%GOBP%GO:2000064	7		Rejected!	
PROEPICARDIUM DEVELOPMENT%GOBP%GO:0003342	1		Rejected!	
ANTI-MULLERIAN HORMONE SIGNALING PATHWAY%GOBP%GO:1990262	1		Rejected!	
RHOMBOMERE 3 DEVELOPMENT%GOBP%GO:0021569	1		Rejected!	
RIBONUCLEOPROTEIN COMPLEX DISASSEMBLY%GOBP%GO:0032988	8		Rejected!	
RESPONSE TO AMILORIDE%GOBP%GO:0036253	4		Rejected!	
REGULATION OF OLIGODENDROCYTE APOPTOTIC PROCESS%GOBP%GO:1900141	1		Rejected!	
POSITIVE REGULATION OF MAP KINASE ACTIVITY%GOBP%GO:0043406	89	61		
RETROGRADE AXONAL TRANSPORT%GOBP%GO:0008090	16		Rejected!	
MEIOTIC GENE CONVERSION%GOBP%GO:0006311	3		Rejected!	
REGULATION OF TRANSCRIPTION OF NUCLEOLAR LARGE RRNA BY RNA POLYMERASE I%GOBP%GO:1901836	14		Rejected!	
REGULATION OF ANATOMICAL STRUCTURE MORPHOGENESIS%GOBP%GO:0022603	694		Rejected!	
POSITIVE REGULATION OF EXIT FROM MITOSIS%GOBP%GO:0031536	3		Rejected!	
MANGANESE ION HOMEOSTASIS%GOBP%GO:0055071	2		Rejected!	
ACETYLCHOLINE TRANSPORT%GOBP%GO:0015870	1		Rejected!	
TRANSLESION SYNTHESIS%GOBP%GO:0019985	25	24		
FOREBRAIN DEVELOPMENT%GOBP%GO:0030900	154	104		
I-KAPPAB PHOSPHORYLATION%GOBP%GO:0007252	10		Rejected!	
ATRIOVENTRICULAR CANAL DEVELOPMENT%GOBP%GO:0036302	12		Rejected!	
POLYSACCHARIDE DIGESTION%GOBP%GO:0044245	4		Rejected!	
REGULATION OF OSSIFICATION%GOBP%GO:0030278	80	60		
NEGATIVE REGULATION OF CYCLASE ACTIVITY%GOBP%GO:0031280	14		Rejected!	
BRAINSTEM DEVELOPMENT%GOBP%GO:0003360	3		Rejected!	
REGULATION OF T-HELPER 1 CELL DIFFERENTIATION%GOBP%GO:0045625	6		Rejected!	
REGULATION OF PLANAR CELL POLARITY PATHWAY INVOLVED IN NEURAL TUBE CLOSURE%GOBP%GO:2000167	1		Rejected!	
GAMETE GENERATION%GOBP%GO:0007276	356	166		
ASYMMETRIC CELL DIVISION%GOBP%GO:0008356	10		Rejected!	
REGULATION OF NEURONAL SIGNAL TRANSDUCTION%GOBP%GO:1902847	1		Rejected!	
POSITIVE REGULATION OF TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER IN RESPONSE TO HEAT STRESS%GOBP%GO:0061408	1		Rejected!	
NEUROMAST HAIR CELL DEVELOPMENT%GOBP%GO:0035675	2		Rejected!	
